Index,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
120,21.5,19.6,89.0,5.0,16.1,100.07
121,21.1,19.8,92.0,4.0,16.1,100.01
122,20.1,19.5,96.0,4.0,16.1,99.95
123,20.9,19.9,94.0,0.0,16.1,99.9
124,20.8,20.0,95.0,4.0,14.5,99.89
125,20.8,20.2,96.0,8.0,14.5,99.86
126,21.0,20.5,97.0,0.0,8.1,99.86
127,21.6,21.0,96.0,4.0,9.7,99.88
128,22.3,21.2,93.0,8.0,16.1,99.87
129,23.0,21.7,93.0,4.0,16.1,99.86
130,21.6,18.8,84.0,9.0,16.1,99.84
131,20.6,19.1,91.0,18.0,16.1,99.9
132,21.8,20.5,92.0,13.0,16.1,99.84
133,22.1,20.3,90.0,9.0,16.1,99.76
134,22.6,20.6,88.0,9.0,16.1,99.71
135,23.9,21.4,86.0,11.0,16.1,99.69
136,23.9,18.7,72.0,0.0,16.1,99.74
137,24.0,19.4,75.0,4.0,16.1,99.75
138,23.1,20.3,84.0,9.0,16.1,99.75
139,22.6,20.4,87.0,13.0,16.1,99.78
140,22.4,20.5,89.0,0.0,8.1,99.79
141,21.8,20.3,91.0,9.0,16.1,99.81
142,21.9,20.4,91.0,4.0,16.1,99.82
143,22.7,20.1,85.0,0.0,16.1,99.83
144,21.7,20.5,93.0,13.0,14.5,99.84
145,21.6,20.4,93.0,8.0,16.1,99.82
146,21.9,19.9,88.0,9.0,16.1,99.81
147,21.4,19.7,90.0,4.0,16.1,99.84
148,21.6,19.7,89.0,8.0,16.1,99.83
149,21.9,19.7,87.0,8.0,16.1,99.85
150,21.9,19.0,83.0,11.0,16.1,99.88
151,22.3,18.9,81.0,11.0,16.1,99.89
152,22.8,18.9,78.0,8.0,16.1,99.91
153,23.3,19.8,81.0,9.0,16.1,99.88
154,24.6,19.6,73.0,9.0,16.1,99.86
155,24.1,20.4,80.0,11.0,16.1,99.89
156,24.6,20.5,77.0,9.0,16.1,99.86
157,23.3,20.7,85.0,13.0,16.1,99.87
158,23.6,20.6,83.0,13.0,16.1,99.8
159,24.6,19.7,74.0,9.0,16.1,99.76
160,23.7,20.4,82.0,11.0,16.1,99.76
161,24.8,20.8,78.0,11.0,16.1,99.71
162,24.1,21.3,84.0,11.0,16.1,99.7
163,23.4,20.8,85.0,9.0,16.1,99.7
164,22.6,20.6,88.0,4.0,4.8,99.76
165,22.6,20.1,86.0,4.0,16.1,99.81
166,22.2,20.2,88.0,8.0,16.1,99.75
167,23.9,16.0,61.0,8.0,16.1,99.73
168,21.6,16.0,70.0,4.0,16.1,99.71
169,21.3,16.3,73.0,4.0,16.1,99.7
170,20.7,14.6,68.0,8.0,16.1,99.71
171,20.1,16.4,79.0,9.0,16.1,99.65
172,19.5,15.2,76.0,8.0,16.1,99.61
173,19.7,15.8,78.0,8.0,16.1,99.6
174,20.4,15.7,74.0,8.0,16.1,99.56
175,21.3,16.7,75.0,5.0,16.1,99.51
176,22.5,19.8,85.0,9.0,16.1,99.49
177,23.3,18.1,72.0,26.0,16.1,99.4
178,22.1,19.2,83.0,15.0,16.1,99.4
179,23.4,19.0,76.0,24.0,16.1,99.45
180,23.1,20.3,84.0,22.0,16.1,99.37
181,22.9,18.9,78.0,9.0,16.1,99.38
182,23.8,18.5,72.0,26.0,16.1,99.42
183,25.7,18.4,64.0,30.0,16.1,99.36
184,26.0,16.1,54.0,32.0,16.1,99.41
185,26.2,15.0,50.0,34.0,16.1,99.44
186,25.4,12.6,45.0,32.0,16.1,99.52
187,24.5,12.6,47.0,26.0,16.1,99.6
188,23.5,11.8,47.0,21.0,16.1,99.67
189,22.5,12.8,54.0,9.0,16.1,99.73
190,22.0,12.9,56.0,17.0,16.1,99.75
191,21.0,12.7,59.0,17.0,16.1,99.78
192,19.9,12.7,63.0,18.0,16.1,99.85
193,19.2,13.0,67.0,17.0,16.1,99.83
194,19.0,12.1,64.0,13.0,16.1,99.82
195,17.9,12.2,69.0,17.0,16.1,99.8
196,17.7,12.2,70.0,17.0,16.1,99.81
197,17.2,12.4,73.0,13.0,16.1,99.86
198,17.2,12.7,74.0,15.0,16.1,99.94
199,18.5,12.8,69.0,18.0,16.1,99.97
200,20.4,13.3,63.0,17.0,16.1,99.98
201,22.0,14.2,61.0,22.0,16.1,99.97
202,23.1,14.6,58.0,17.0,16.1,99.97
203,24.4,11.9,45.0,26.0,16.1,99.97
204,24.5,11.5,44.0,30.0,16.1,99.94
205,25.5,13.5,47.0,28.0,16.1,99.89
206,26.0,11.1,39.0,28.0,16.1,99.84
207,25.8,11.7,41.0,32.0,16.1,99.81
208,24.8,10.6,40.0,32.0,16.1,99.84
209,24.2,10.2,41.0,30.0,16.1,99.88
210,23.6,11.5,46.0,26.0,16.1,99.89
211,23.6,12.1,48.0,32.0,16.1,99.95
212,22.2,10.2,46.0,26.0,16.1,100.01
213,20.9,11.1,53.0,18.0,16.1,100.09
214,19.9,11.3,57.0,17.0,16.1,100.11
215,19.5,11.8,61.0,21.0,16.1,100.13
216,18.8,11.5,62.0,21.0,16.1,100.14
217,18.0,11.6,66.0,18.0,16.1,100.14
218,17.3,11.4,68.0,17.0,16.1,100.15
219,16.8,11.4,70.0,11.0,16.1,100.19
220,16.4,11.6,73.0,15.0,16.1,100.22
221,16.0,11.6,75.0,11.0,16.1,100.28
222,16.0,11.8,76.0,13.0,16.1,100.31
223,17.3,11.9,70.0,13.0,16.1,100.37
224,19.3,12.4,64.0,8.0,16.1,100.42
225,19.4,13.1,66.0,13.0,16.1,100.43
226,20.2,14.2,68.0,15.0,16.1,100.41
227,23.3,10.0,43.0,22.0,16.1,100.36
228,23.3,10.6,44.0,22.0,16.1,100.32
229,25.1,11.1,41.0,30.0,16.1,100.3
230,25.6,10.6,39.0,22.0,16.1,100.28
231,24.6,9.6,38.0,32.0,16.1,100.28
232,25.3,10.5,39.0,15.0,16.1,100.29
233,24.3,11.1,43.0,18.0,16.1,100.31
234,23.1,10.5,44.0,21.0,16.1,100.37
235,22.5,9.3,42.0,15.0,16.1,100.43
236,21.6,8.8,43.0,11.0,16.1,100.5
237,20.5,9.7,50.0,9.0,16.1,100.55
238,20.2,9.8,51.0,9.0,16.1,100.57
239,19.2,10.0,55.0,9.0,16.1,100.59
240,14.9,10.6,75.0,5.0,16.1,100.62
241,17.1,10.9,67.0,13.0,16.1,100.63
242,15.8,11.6,76.0,11.0,16.1,100.67
243,14.7,11.9,83.0,9.0,16.1,100.69
244,16.5,11.1,70.0,9.0,16.1,100.7
245,16.4,11.4,72.0,8.0,16.1,100.72
246,15.2,11.7,79.0,5.0,16.1,100.78
247,16.5,12.4,76.0,9.0,16.1,100.82
248,17.4,11.5,68.0,9.0,16.1,100.83
249,18.8,12.1,65.0,8.0,16.1,100.83
250,21.0,14.8,68.0,13.0,16.1,100.82
251,22.3,15.5,65.0,18.0,16.1,100.8
252,22.4,16.7,70.0,18.0,16.1,100.76
253,23.3,16.6,66.0,24.0,16.1,100.7
254,21.9,16.8,72.0,21.0,16.1,100.66
255,23.6,16.4,64.0,22.0,16.1,100.6
256,22.0,16.9,72.0,21.0,16.1,100.56
257,21.5,17.7,79.0,21.0,16.1,100.52
258,20.3,17.2,82.0,17.0,16.1,100.52
259,18.4,16.3,87.0,13.0,16.1,100.49
