,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16
25,-0.03323096,0.21034528,-0.31449208,-0.2351106,-0.0331452,-0.3197353,0.24447623,0.3565562,-0.06375849,-0.28543982,-0.29603612,0.057998728,-0.040343985,-0.03774073,-0.08506801,0.26967856
26,0.039720412,0.1582988,-0.29106793,-0.15476668,0.016919874,-0.25937858,0.18473773,0.2570524,-0.002161364,-0.28543982,-0.23086657,0.007823498,-0.124750316,-0.03774073,-0.08506801,0.20822658
27,0.10366517,0.058676302,-0.15983456,-0.010446456,0.057873525,-0.13825087,0.071565,0.07032737,0.047732685,-0.19435139,-0.10693755,-0.034302045,-0.19622575,-0.03774073,-0.08506801,0.087738685
28,0.14839974,0.032969035,-0.12620035,0.03056868,0.08922054,-0.10886337,0.042083453,0.020337356,0.08605573,-0.14935489,-0.07416269,-0.065205954,-0.24852547,-0.03774073,-0.08506801,0.05766129
29,0.054059695,0.18475994,-0.31449208,-0.18893932,0.02936085,-0.29409674,0.21486488,0.30481806,0.012510162,-0.28543982,-0.26286787,-0.0030795005,-0.14323276,-0.03774073,-0.08506801,0.24191469
30,0.10376652,0.33543283,-0.31449208,-0.3870367,0.07727079,-0.48824817,0.3866761,0.5784191,0.06786625,-0.28543982,-0.44482547,-0.042403113,-0.21131347,-0.03774073,-0.08506801,0.4318044
31,-0.040911417,0.13215928,-0.252809,-0.13182914,-0.048458595,-0.22028561,0.1522261,0.21414074,-0.07541302,-0.28543982,-0.20490338,0.06423669,-0.024486711,-0.03774073,-0.08506801,0.16959748
32,0.12844042,0.15956198,-0.2935759,-0.14505446,0.081981935,-0.26764104,0.18533392,0.2540864,0.077542655,-0.28543982,-0.23060234,-0.055210397,-0.23059574,-0.03774073,-0.08506801,0.21345401
33,0.15876497,0.26292858,-0.31449208,-0.28079668,0.11312072,-0.4002661,0.30393645,0.4411314,0.112126194,-0.28543982,-0.3541692,-0.07919545,-0.27345744,-0.03774073,-0.08506801,0.34383178
34,0.25682023,0.28702515,-0.31449208,-0.2997701,0.18904033,-0.43811446,0.3323495,0.47977737,0.20127127,-0.28543982,-0.3793989,-0.14863837,-0.28269124,-0.03774073,-0.08506801,0.37944347
35,0.016334625,0.20986098,-0.31449208,-0.22960244,-0.00032225475,-0.32236153,0.24058649,0.3525187,-0.018266631,-0.28543982,-0.29743284,0.021543209,-0.09757122,-0.03774073,-0.08506801,0.2685107
36,0.023385173,-0.1245202,0.08907361,0.22540712,-0.020551734,0.100392014,-0.14194088,-0.24250852,-0.035564248,0.10821042,0.10894527,0.025513906,-0.08702766,-0.03774073,-0.08506801,-0.14836045
37,0.022042321,-0.09775455,0.053331755,0.18932278,-0.018979909,0.06706146,-0.111072995,-0.21260779,-0.034698907,0.06399913,0.07727406,0.025871588,-0.087410115,-0.03774073,-0.08506801,-0.11518483
38,-0.054530226,-0.018688997,-0.05006269,0.07125262,-0.07094066,-0.02704852,-0.021477943,-0.06368951,-0.09721473,-0.0714804,-0.021841384,0.07740032,0.00052370277,-0.03774073,-0.08506801,-0.021209326
39,0.08906961,-0.017705338,-0.05475346,0.09010669,0.03765685,-0.039006803,-0.01911417,-0.07056746,0.030991148,-0.066846006,-0.016903112,-0.023399282,-0.17281419,-0.03774073,-0.08506801,-0.011996266
40,0.08585604,0.0592011,-0.1571979,-0.014321803,0.04151311,-0.1354669,0.068930805,0.06985523,0.033858005,-0.19508009,-0.10958972,-0.023129262,-0.1738295,-0.03774073,-0.08506801,0.08339856
41,0.0793642,0.05952361,-0.15728144,-0.015591798,0.03657383,-0.1351074,0.06909347,0.07043982,0.028282367,-0.19563738,-0.110092856,-0.018640261,-0.16608313,-0.03774073,-0.08506801,0.0831058
42,-0.032629807,0.10839828,-0.21991025,-0.09789544,-0.044519253,-0.18885224,0.12398791,0.16739814,-0.068334416,-0.2828177,-0.17466494,0.058623187,-0.033563446,-0.03774073,-0.08506801,0.13803904
43,-0.01578039,0.1887426,-0.31449208,-0.20432663,-0.025715685,-0.29101104,0.21570279,0.3122514,-0.04706822,-0.28543982,-0.27086285,0.044509593,-0.05867307,-0.03774073,-0.08506801,0.23828107
44,-0.0966845,0.28927952,-0.31449208,-0.35185486,-0.07926055,-0.41114658,0.3295696,0.5004294,-0.11150109,-0.28543982,-0.3957932,0.09845103,0.032794856,-0.03774073,-0.08506801,0.35813853
45,-0.16977909,0.28894302,-0.31449208,-0.3617096,-0.13466941,-0.40517348,0.3284071,0.50410014,-0.17665543,-0.28543982,-0.39856806,0.14969148,0.12107013,-0.03774073,-0.08506801,0.35346344
46,-0.05816265,0.38967612,-0.31449208,-0.48253745,-0.042286918,-0.5407196,0.44478318,0.6821226,-0.06989241,-0.28543982,-0.5157418,0.06877928,-0.019748889,-0.03774073,-0.08506801,0.4853779
47,-0.040754404,0.46649396,-0.31449208,-0.5841676,-0.023099957,-0.6388625,0.5328059,0.8215001,-0.048737716,-0.28543982,-0.607872,0.054525148,-0.045398645,-0.03774073,-0.08506801,0.58192015
