LAYER_1,LAYER_2,LOSS_TRAIN,LOSS_TEST
5,13,108.42315,106.07731
11,5,108.604805,106.07893
2,16,108.47058,106.08051
11,12,108.47949,106.0901
5,14,108.55123,106.09031
13,16,108.54043,106.0935
11,8,108.457306,106.09437
6,6,108.446075,106.10015
15,13,108.42101,106.10775
2,9,108.489044,106.10858
7,10,108.38306,106.11474
13,12,108.51861,106.121414
15,5,108.45179,106.12554
15,7,108.50715,106.12985
5,8,108.48437,106.136444
14,15,108.470024,106.142624
8,4,108.491875,106.14586
7,9,108.44587,106.14846
8,8,108.483826,106.15039
16,14,108.54636,106.15743
12,6,108.497826,106.17707
7,6,108.53131,106.18827
10,13,108.45762,106.21842
10,16,108.51615,106.26225
14,5,108.54049,106.33059
7,4,108.425385,106.50571
15,8,108.53946,106.87159
